"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"357","1","2.52","300","deterministic","1723","54","12.549901464710036","19.431287735002996"
"361","1","2.56","300","deterministic","1385","43","9.3299594595046","48.34718944808547"
"359","1","2.52","300","deterministic","1617","44","12.911439480483338","42.06089353820361"
"360","1","2.52","300","deterministic","1642","41","10.806265287988204","39.85787798955204"
"362","1","2.56","300","deterministic","1713","44","7.346080844021834","48.67433043096881"
"363","1","2.56","300","deterministic","1513","40","8.155056297138087","42.67073309048323"
"364","1","2.56","300","deterministic","1711","48","10.861281527947366","33.73599840248189"
"365","1","2.6","300","deterministic","1303","40","11.291611297210181","38.358665810716545"
"367","1","2.6","300","deterministic","1432","40","9.841820277598671","33.807359815720766"
"366","1","2.6","300","deterministic","1663","40","9.855491084802413","26.709580380565892"
"368","1","2.6","300","deterministic","1466","44","10.593846819967794","23.879095792791794"
"369","1","2.64","300","deterministic","1450","41","10.800856701587552","29.388971873964728"
"371","1","2.64","300","deterministic","1411","41","9.841423720155635","23.192855310519015"
"370","1","2.64","300","deterministic","1590","44","8.93557061950714","27.037698147863534"
"372","1","2.64","300","deterministic","1642","44","9.257197809332048","69.5677400126181"
"373","1","2.68","300","deterministic","1650","44","10.468717849784685","79.17937764153635"
"374","1","2.68","300","deterministic","1515","39","7.244048700329156","31.031966633133965"
"375","1","2.68","300","deterministic","1875","42","10.286802094005914","17.993075137233415"
"376","1","2.68","300","deterministic","1649","46","9.574826619956976","58.190070662535256"
"377","1","2.72","300","deterministic","1404","38","11.184002057534283","44.682312998304496"
"379","1","2.72","300","deterministic","1374","39","8.863672867242414","20.323544537217412"
"378","1","2.72","300","deterministic","1540","38","7.6016187524317615","84.72637318186302"
"380","1","2.72","300","deterministic","1695","44","11.335074616359929","24.706308684978254"
"383","1","2.76","300","deterministic","1439","39","9.07313174550423","75.76042878012963"
"381","1","2.76","300","deterministic","1648","39","8.548491309185739","29.536640129520677"
"382","1","2.76","300","deterministic","1456","37","12.709916180701867","30.651630459998362"
"384","1","2.76","300","deterministic","1556","38","9.99545208720592","42.23372499439252"
"385","1","2.8","300","deterministic","1538","36","12.065357044550083","18.998702874397104"
"386","1","2.8","300","deterministic","1276","37","10.056787930515338","64.49551051338466"
"389","1","2.84","300","deterministic","1424","36","9.94110723630785","26.73803628367292"
"388","1","2.8","300","deterministic","1459","38","11.853677997886333","39.595333864897405"
"387","1","2.8","300","deterministic","1564","37","8.12383386066741","16.742123518508734"
"391","1","2.84","300","deterministic","1542","42","7.267511360240402","41.01464577982105"
"390","1","2.84","300","deterministic","1666","42","7.040767229332321","30.013877266257666"
"392","1","2.84","300","deterministic","1461","36","9.965781765335489","55.829181966436295"
"393","1","2.88","300","deterministic","1549","36","10.65377408719236","45.40389064598438"
"395","1","2.88","300","deterministic","1443","38","10.35243190754532","41.02219855281935"
"394","1","2.88","300","deterministic","1555","36","11.467252928472583","71.88891380975988"
"397","1","2.92","300","deterministic","1350","35","9.100013839628044","46.813879654948316"
"396","1","2.88","300","deterministic","1651","36","11.04753751527803","77.1075944275684"
"398","1","2.92","300","deterministic","1409","35","11.984476106471924","30.523685477949257"
"399","1","2.92","300","deterministic","1530","36","11.129908318922698","44.52202156360247"
"400","1","2.92","300","deterministic","1560","37","9.278264782039376","50.67106618320924"
"401","1","2.96","300","deterministic","1457","38","10.093740259570886","55.86368698477913"
"402","1","2.96","300","deterministic","1826","37","10.408544137459167","66.63174562857061"
"403","1","2.96","300","deterministic","1729","35","9.860734089951976","68.28107613730401"
"404","1","2.96","300","deterministic","1629","35","8.903971998409936","54.2146411437811"
"405","1","3","300","deterministic","1410","38","10.457082274078171","63.666415568695406"
"407","1","3","300","deterministic","1583","36","10.042227365458682","55.558749490489"
"406","1","3","300","deterministic","1806","34","9.955359419717976","63.98869497863818"
"408","1","3","300","deterministic","2166","34","7.290619614582781","81.04200687705709"
"411","4","1","300","deterministic","8033","101","6.034945056222941","14.352996437305324"
"409","4","1","300","deterministic","10046","2415","3.300834675893931","15.411959345259406"
"412","4","1","300","deterministic","9228","101","2.9461299610480083","14.308385297877214"
"410","4","1","300","deterministic","13075","107","2.945390876379566","15.482622025507496"
"413","4","1.04","300","deterministic","10570","97","5.040353490510448","16.335036624270206"
"414","4","1.04","300","deterministic","11523","117","2.163848336306513","14.887253783644356"
"417","4","1.08","300","deterministic","8888","94","3.860773058671999","17.40680880434928"
"415","4","1.04","300","deterministic","10082","103","2.9220589648481106","14.553926365371836"
"416","4","1.04","300","deterministic","11029","1958","2.5327964250706216","15.485544954610106"
"418","4","1.08","300","deterministic","10549","1033","2.4924077230661297","16.787766532757942"
"419","4","1.08","300","deterministic","8632","94","2.5746086782170483","16.160161892030352"
"421","4","1.12","300","deterministic","8529","91","6.0627382950836495","17.9625755285798"
"420","4","1.08","300","deterministic","9623","98","2.9835190012093236","15.513628834273064"
"423","4","1.12","300","deterministic","8650","1026","4.124209203002529","18.201998010285507"
"422","4","1.12","300","deterministic","10948","1184","1.6300182126256963","17.259524395089603"
"425","4","1.16","300","deterministic","9160","103","1.9770350690574041","19.526316133710587"
"424","4","1.12","300","deterministic","9361","104","1.9575425952200938","18.746278524626817"
"428","4","1.16","300","deterministic","8610","87","1.6030506706829986","16.313275031376122"
